60sec,Bid_Price_Open,Bid_Price_Close,Ask_Price_Open,Ask_Price_Close,Midprice_Open,Midprice_Close,Midprice_Average,Dmid_tick,Spread_tick,VolImb,Trades,Volume,Buy_Trades,Sell_Trades,TFI
37,2234100,2230300,2235000,2231300,2234550.0,2230800.0,2232370.490797546,-37.5,11.478527607361963,0.07560887797910147,26,1386,1,25,-0.9230769230769231
38,2230300,2230200,2231300,2231400,2230800.0,2230800.0,2232277.2507260405,0.0,17.89545014520813,0.07406808270011905,57,3623,48,9,0.6842105263157895
39,2230200,2231000,2231400,2233200,2230800.0,2232100.0,2232057.1627906975,13.0,18.053023255813955,0.1452953397242695,8,244,5,3,0.25
40,2231000,2232400,2233200,2234800,2232100.0,2233600.0,2232258.6163522014,15.0,19.471698113207548,0.2011585948890893,10,559,9,1,0.8
41,2232800,2234700,2234800,2236000,2233800.0,2235350.0,2234653.0915576695,15.5,17.98692033293698,-0.14102115198347998,13,826,12,1,0.8461538461538461
42,2234700,2235000,2236000,2236000,2235350.0,2235500.0,2235278.342749529,1.5,9.909604519774012,0.09050715557503013,18,1255,14,4,0.5555555555555556
43,2235000,2235000,2236000,2235800,2235500.0,2235400.0,2236133.5849056602,-1.0,10.558490566037737,0.18830814819410224,9,902,4,5,-0.1111111111111111
44,2235000,2235600,2235800,2237000,2235400.0,2236300.0,2234973.014354067,9.0,16.581818181818182,-0.04049582595262758,15,1218,7,8,-0.06666666666666667
45,2235600,2235900,2237000,2237100,2236300.0,2236500.0,2236292.3413566737,2.0,13.527352297592998,-0.007891623832371561,10,718,9,1,0.8
46,2235900,2238000,2237100,2239600,2236500.0,2238800.0,2238172.732300885,23.0,14.027654867256636,-0.16361571944960393,22,1597,20,2,0.8181818181818182
47,2238000,2238700,2239600,2239600,2238800.0,2239150.0,2239062.9258517036,3.5,10.396793587174349,-0.08482710972738916,4,329,4,0,1.0
48,2238700,2237500,2239600,2238800,2239150.0,2238150.0,2238125.2396166134,-10.0,15.057507987220447,0.0778696569081294,11,758,7,4,0.2727272727272727
49,2237500,2237100,2238800,2238100,2238150.0,2237600.0,2238438.137472284,-5.5,14.82039911308204,-0.0492554218849293,10,605,5,5,0.0
50,2237100,2239900,2238100,2241500,2237600.0,2240700.0,2238727.3907103827,31.0,15.12704918032787,-0.11561319273483353,15,1750,15,0,1.0
51,2239900,2240600,2241500,2241900,2240700.0,2241250.0,2240857.8590785908,5.5,15.560975609756097,-0.008786593366599697,11,892,7,4,0.2727272727272727
52,2240600,2238500,2241900,2239900,2241250.0,2239200.0,2240118.9171974524,-20.5,13.020382165605096,0.10852188608876061,29,1919,9,20,-0.3793103448275862
53,2238500,2238300,2239900,2239300,2239200.0,2238800.0,2238769.9806013578,-4.0,10.088263821532493,0.02597215000249482,37,3689,20,17,0.08108108108108109
54,2238300,2237500,2239300,2239800,2238800.0,2238650.0,2238832.902892562,-1.5,12.65599173553719,-0.05329166129886551,23,2600,14,9,0.21739130434782608
55,2237500,2235200,2239800,2237400,2238650.0,2236300.0,2237847.5195822455,-23.5,15.97911227154047,0.10504058483798834,12,1120,8,4,0.3333333333333333
56,2235200,2235300,2237400,2236100,2236300.0,2235700.0,2236720.4156479216,-6.0,12.880195599022004,0.042223674484394375,14,1028,11,3,0.5714285714285714
57,2235300,2237200,2236100,2238400,2235700.0,2237800.0,2237027.861952862,21.0,12.76936026936027,-0.14140163785197127,8,1300,7,1,0.75
58,2237200,2237500,2238400,2238000,2237800.0,2237750.0,2237722.1280602636,-0.5,9.451977401129943,-0.003411217970915352,8,759,1,7,-0.75
59,2237500,2238800,2238000,2239800,2237750.0,2239300.0,2238380.136319377,15.5,12.556962025316455,-0.05631369835338743,30,2900,26,4,0.7333333333333333
60,2238800,2238200,2239800,2238800,2239300.0,2238500.0,2238554.038329911,-8.0,10.323750855578371,-0.024073830948626692,74,6481,38,36,0.02702702702702703
61,2238200,2239900,2238800,2240800,2238500.0,2240350.0,2238794.0575673166,18.5,13.504178272980502,-0.045940563355815055,48,3539,19,29,-0.20833333333333334
62,2239900,2238600,2240800,2240700,2240350.0,2239650.0,2239671.5805471125,-7.0,15.972644376899696,0.22604203230614847,23,1103,18,5,0.5652173913043478
63,2238600,2239100,2240700,2239500,2239650.0,2239300.0,2239123.927765237,-3.5,10.090293453724605,0.07450824359941217,8,591,2,6,-0.5
64,2239100,2241100,2239500,2243400,2239300.0,2242250.0,2240766.066282421,29.5,13.27521613832853,-0.2635904005484892,21,1102,19,2,0.8095238095238095
65,2241100,2243100,2243100,2244000,2242100.0,2243550.0,2242753.8226299696,14.5,13.963302752293577,-0.3213750406177424,11,750,11,0,1.0
66,2243100,2242000,2244000,2242200,2243550.0,2242100.0,2241686.564102564,-14.5,13.591794871794871,-0.001092771443881447,32,2104,16,16,0.0
67,2242000,2240600,2242200,2242000,2242100.0,2241300.0,2242374.6524064173,-8.0,10.551871657754011,-0.15163212602829107,59,6676,13,46,-0.559322033898305
68,2240600,2240800,2242000,2242500,2241300.0,2241650.0,2241261.1295681065,3.5,14.465116279069768,-0.021892221364591506,6,700,6,0,1.0
